Genesis 1:1	In the beginning God created the heavens and the earth.
Genesis 1:2	Now the earth was formless and empty. Darkness was on the surface of the deep. God’s Spirit was hovering over the surface of the waters.
Genesis 1:3	God said, “Let there be light,” and there was light.
Genesis 1:4	God saw the light, and saw that it was good. God divided the light from the darkness.
Genesis 1:5	God called the light “day,” and the darkness he called “night.” There was evening and there was morning, one day.
Genesis 1:6	God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”
Genesis 1:7	God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.
Genesis 1:8	God called the expanse “sky.” There was evening and there was morning, a second day.
Genesis 1:9	God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so.
Genesis 1:10	God called the dry land “earth,” and the gathering together of the waters he called “seas.” God saw that it was good.
Genesis 1:11	God said, “Let the earth yield grass, herbs yielding seed, and fruit trees bearing fruit after their kind, with its seed in it, on the earth;” and it was so.
Genesis 1:12	The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with its seed in it, after their kind; and God saw that it was good.
Genesis 1:13	There was evening and there was morning, a third day.
Genesis 1:14	God said, “Let there be lights in the expanse of sky to divide the day from the night; and let them be for signs, and for seasons, and for days and years;
Genesis 1:15	and let them be for lights in the expanse of sky to give light on the earth;” and it was so.
Genesis 1:16	God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.
Genesis 1:17	God set them in the expanse of sky to give light to the earth,
Genesis 1:18	and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.
Genesis 1:19	There was evening and there was morning, a fourth day.
Genesis 1:20	God said, “Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open expanse of sky.”
Genesis 1:21	God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.
Genesis 1:22	God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”
Genesis 1:23	There was evening and there was morning, a fifth day.
Genesis 1:24	God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so.
Genesis 1:25	God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.
Genesis 1:26	God said, “Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”
Genesis 1:27	God created man in his own image. In God’s image he created him; male and female he created them.
Genesis 1:28	God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”
Genesis 1:29	God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.
Genesis 1:30	To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.
Genesis 1:31	God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.
Genesis 2:1	The heavens and the earth were finished, and all their vast array.
Genesis 2:2	On the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made.
Genesis 2:3	God blessed the seventh day, and made it holy, because he rested in it from all his work which he had created and made.
Genesis 2:4	This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.
Genesis 2:5	No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,
Genesis 2:6	but a mist went up from the earth, and watered the whole surface of the ground.
Genesis 2:7	Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
Genesis 2:8	Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.
Genesis 2:9	Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food; the tree of life also in the middle of the garden, and the tree of the knowledge of good and evil.
Genesis 2:10	A river went out of Eden to water the garden; and from there it was parted, and became four heads.
